company_name,company_website,quarter,Headcount_Count,Headcount_Growth,Headcount_Breakdown_of_employees,Fundraising_Total_amount,Fundraising_Date_of_last_round,Financials_GMV,Financials_Net_Sales,Financials_CAC
Stripe,https://stripe.com,Q1 2020,199,-0.09,"{'tech': 30, 'sales': 46, 'admin': 36}",65.88,10/12/2023,8560871.59,3369060.75,294.09
Stripe,https://stripe.com,Q2 2020,67,0.04,"{'tech': 11, 'sales': 15, 'admin': 9}",,02/11/2023,1515224.03,3220675.53,433.02
Stripe,https://stripe.com,Q3 2020,396,-0.02,"{'tech': 156, 'sales': 160, 'admin': 55}",,,1424920.37,4501299.05,347.29
Stripe,https://stripe.com,Q4 2020,246,-0.01,"{'tech': 68, 'sales': 32, 'admin': 16}",,09/06/2022,9514903.04,1086748.3,104.31
Stripe,https://stripe.com,Q1 2021,435,-0.01,"{'tech': 137, 'sales': 21, 'admin': 77}",21.66,,7596193.14,3221390.53,499.69
Stripe,https://stripe.com,Q2 2021,201,0.38,"{'tech': 59, 'sales': 71, 'admin': 18}",34.72,13/12/2020,893673.31,4449960.46,473.29
Stripe,https://stripe.com,Q3 2021,437,0.32,"{'tech': 71, 'sales': 59, 'admin': 68}",37.59,27/02/2023,7001084.01,3225573.76,295.32
Stripe,https://stripe.com,Q4 2021,112,0.17,"{'tech': 56, 'sales': 18, 'admin': 20}",,,9616713.52,3398137.23,162.75
Stripe,https://stripe.com,Q1 2022,463,0.34,"{'tech': 86, 'sales': 100, 'admin': 42}",20.74,,4902696.91,3897429.13,471.18
Stripe,https://stripe.com,Q2 2022,444,0.32,"{'tech': 14, 'sales': 97, 'admin': 68}",,23/09/2022,7232838.56,2250013.08,345.21
Stripe,https://stripe.com,Q3 2022,338,0.24,"{'tech': 88, 'sales': 104, 'admin': 51}",,,4580541,2509453.94,394.73
Stripe,https://stripe.com,Q4 2022,229,0.07,"{'tech': 109, 'sales': 37, 'admin': 19}",44.94,,1123560.35,523369.11,431.14
Stripe,https://stripe.com,Q1 2023,500,0.13,"{'tech': 113, 'sales': 103, 'admin': 80}",,,6224377,1407920.28,470.78
Stripe,https://stripe.com,Q2 2023,353,-0.05,"{'tech': 94, 'sales': 47, 'admin': 69}",23.77,22/02/2021,7643785.52,1503196.35,458.88
Stripe,https://stripe.com,Q3 2023,339,-0.09,"{'tech': 168, 'sales': 10, 'admin': 58}",33.27,,230645.7,547877.15,93.67
Stripe,https://stripe.com,Q4 2023,441,0.05,"{'tech': 172, 'sales': 21, 'admin': 67}",3.7,14/02/2019,8761543.75,4017456.75,107.42
Stripe,https://stripe.com,Q1 2024,418,0.39,"{'tech': 189, 'sales': 10, 'admin': 78}",,,3023031.98,917016.91,222.54
Stripe,https://stripe.com,Q2 2024,494,0.16,"{'tech': 206, 'sales': 192, 'admin': 94}",,,5870358.51,631281.03,161.52
Stripe,https://stripe.com,Q3 2024,129,0.19,"{'tech': 35, 'sales': 47, 'admin': 15}",69.01,17/06/2021,8673307.38,251230.6,426.46
Stripe,https://stripe.com,Q4 2024,391,0.29,"{'tech': 41, 'sales': 61, 'admin': 26}",,20/08/2022,9671614.37,2086298.31,365.13
SpaceX,https://www.spacex.com,Q1 2020,42,0.37,"{'tech': 16, 'sales': 5, 'admin': 7}",,12/01/2019,1674801.36,2613505.92,265.03
SpaceX,https://www.spacex.com,Q2 2020,127,0.23,"{'tech': 61, 'sales': 10, 'admin': 19}",98.43,,9274212,2482980.12,271.21
SpaceX,https://www.spacex.com,Q3 2020,357,-0.09,"{'tech': 40, 'sales': 9, 'admin': 15}",99.75,03/10/2022,6368070.76,553299.06,93.39
SpaceX,https://www.spacex.com,Q4 2020,468,-0.06,"{'tech': 138, 'sales': 140, 'admin': 87}",82.9,19/08/2020,5097781.64,3435046.89,363.91
SpaceX,https://www.spacex.com,Q1 2021,370,0.22,"{'tech': 144, 'sales': 74, 'admin': 59}",,,3622144.88,717791.75,117.77
SpaceX,https://www.spacex.com,Q2 2021,197,0.15,"{'tech': 39, 'sales': 27, 'admin': 4}",,31/07/2019,4539419.38,647851.25,485.29
